Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotCmp,TotAtt,TotCmp%,TotDist,TotPrgDist,SrtCmp,SrtAtt,SrtCmp%,MedCmp,MedAtt,MedCmp%,LngCmp,LngAtt,LngCmp%,Ast,xAG,xA,A-xAG,KP,1/3Pass,PPA,CrsPA,PrgP,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-110,2000,17.7,411,549,74.9,5186,1517,235,287,81.9,105,137,76.6,16,42,38.1,2,3.1,1.6,-1.1,31,31,8,2,57,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-211,1996,17.3,252,380,66.3,3571,820,159,214,74.3,54,85,63.5,22,30,73.3,2,2.5,1.8,-0.5,21,17,10,2,23,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-360,1999,19.0,895,1091,82.0,13587,4198,488,555,87.9,320,378,84.7,54,90,60.0,0,1.3,0.9,-1.3,23,83,12,0,111,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-138,1997,12.2,474,592,80.1,9865,3618,117,134,87.3,307,347,88.5,46,95,48.4,0,0.0,0.1,0.0,1,29,2,0,36,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-316,1996,4.8,150,194,77.3,3032,1347,51,55,92.7,77,94,81.9,20,40,50.0,0,0.0,0.1,0.0,1,11,2,0,9,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MF,Crystal Palace,20-317,2002,0.1,8,9,88.9,128,23,3,3,100.0,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,a6c58494
7,Rayan Aït Nouri,fr FRA,DF,Wolves,21-248,2001,9.6,375,461,81.3,5850,2045,209,235,88.9,140,168,83.3,19,29,65.5,0,1.0,0.8,-1.0,7,22,13,5,36,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,24-298,1998,7.5,238,317,75.1,4141,1706,122,145,84.1,94,118,79.7,21,38,55.3,0,0.0,0.1,0.0,1,20,1,1,27,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-205,1995,14.3,1090,1157,94.2,18873,5880,478,492,97.2,529,550,96.2,68,91,74.7,1,0.2,0.3,+0.8,4,74,1,1,68,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,27-356,1995,12.8,1078,1178,91.5,17723,6367,508,535,95.0,508,542,93.7,48,71,67.6,0,0.3,0.7,-0.3,5,97,5,0,94,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-083,1989,2.6,90,149,60.4,1447,551,49,61,80.3,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,31-304,1991,12.8,842,980,85.9,15197,4456,393,424,92.7,299,340,87.9,121,153,79.1,0,1.1,1.2,-1.1,17,95,19,0,107,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MF,Southampton,20-071,2002,0.6,15,23,65.2,165,38,8,13,61.5,5,5,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,1,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-125,1998,16.0,1039,1422,73.1,19780,8294,487,547,89.0,380,497,76.5,159,330,48.2,1,4.3,4.0,-3.3,36,112,49,17,116,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-130,1992,20.0,636,742,85.7,14932,9670,156,156,100.0,324,331,97.9,152,248,61.3,1,0.3,0.0,+0.7,1,9,0,0,1,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,26-304,1996,0.4,12,15,80.0,123,10,6,8,75.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28-364,1994,19.3,553,670,82.5,7574,1876,342,380,90.0,162,195,83.1,22,31,71.0,1,1.5,2.0,-0.5,17,33,22,2,91,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-009,2000,6.4,158,200,79.0,1987,302,98,114,86.0,35,46,76.1,7,11,63.6,0,0.5,0.5,-0.5,6,11,4,1,18,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-050,1994,15.2,874,955,91.5,15152,5775,383,407,94.1,423,446,94.8,58,84,69.0,0,0.5,0.4,-0.5,5,52,1,0,62,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-254,1996,16.4,835,1047,79.8,19807,7706,193,212,91.0,488,527,92.6,149,283,52.7,0,0.4,0.3,-0.4,4,68,4,0,44,Matches,e34fc66d
21,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-095,2002,1.3,45,62,72.6,708,260,23,29,79.3,19,23,82.6,2,2,100.0,0,0.5,0.6,-0.5,3,7,1,0,7,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-070,1999,8.0,232,321,72.3,3391,939,133,153,86.9,63,90,70.0,19,35,54.3,0,0.5,0.7,-0.5,7,14,12,4,32,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,32-318,1990,10.9,99,191,51.8,1440,287,54,83,65.1,37,71,52.1,5,19,26.3,2,1.0,0.6,+1.0,10,8,5,1,16,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,22-350,2000,10.1,319,413,77.2,4058,812,226,261,86.6,66,94,70.2,12,25,48.0,0,0.4,0.7,-0.4,8,14,8,0,28,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-203,2001,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,29-347,1993,1.2,29,42,69.0,852,696,9,9,100.0,10,10,100.0,10,22,45.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-203,1996,12.0,256,350,73.1,3209,812,177,225,78.7,55,76,72.4,8,10,80.0,0,0.8,0.4,-0.8,9,19,9,0,35,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,25-364,1997,11.4,185,252,73.4,2789,534,100,119,84.0,61,78,78.2,12,19,63.2,1,0.7,0.7,+0.3,10,11,9,2,15,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,30-316,1992,8.5,291,366,79.5,4576,1355,156,179,87.2,104,127,81.9,20,29,69.0,0,1.7,2.1,-1.7,12,26,21,5,48,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-129,1994,12.5,402,474,84.8,8429,5001,164,166,98.8,155,156,99.4,81,150,54.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-236,1989,4.8,61,86,70.9,821,193,41,54,75.9,17,21,81.0,2,3,66.7,0,0.3,0.2,-0.3,3,2,2,1,3,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-294,1994,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-047,1992,11.0,368,544,67.6,5658,2597,197,255,77.3,136,196,69.4,25,54,46.3,0,0.8,0.7,-0.8,8,22,8,5,41,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-181,1997,8.1,90,124,72.6,1049,138,63,76,82.9,19,26,73.1,1,4,25.0,0,1.0,0.3,-1.0,8,3,1,0,7,Matches,e5478b87
35,André Ayew,gh GHA,FW,Nott'ham Forest,33-054,1989,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,5dbefa9d
36,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-151,1991,15.6,339,446,76.0,4440,795,216,247,87.4,103,136,75.7,7,20,35.0,1,1.2,1.1,-0.2,15,13,5,3,26,Matches,da052c14
37,Luke Ayling,eng ENG,DF,Leeds United,31-168,1991,7.8,258,384,67.2,4162,2108,147,181,81.2,82,122,67.2,25,51,49.0,1,0.8,0.9,+0.2,4,26,9,4,32,Matches,420d7c7d
38,César Azpilicueta,es ESP,DF,Chelsea,33-165,1989,11.4,622,772,80.6,9246,3223,349,378,92.3,250,308,81.2,13,55,23.6,0,0.8,0.8,-0.8,9,26,14,3,54,Matches,53cad200
