Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotCarDist,PrgCarDist,PrgC,1/3Car,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-110,2000,17.7,778,7,77,337,380,44,778,66,21,31.8,31,47.0,473,2409,1002,27,19,7,46,55,534,100,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-211,1996,17.3,560,22,52,226,293,83,560,24,11,45.8,11,45.8,308,1253,360,11,8,8,60,16,428,79,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-360,1999,19.0,1318,29,293,821,215,3,1318,17,3,17.6,11,64.7,668,2605,1188,13,19,0,22,13,752,18,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-138,1997,12.2,709,116,385,311,18,3,709,3,2,66.7,1,33.3,352,1911,1170,6,8,0,2,3,427,1,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-316,1996,4.8,248,30,123,119,8,5,248,1,1,100.0,0,0.0,134,478,238,1,0,0,3,0,147,1,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MF,Crystal Palace,20-317,2002,0.1,10,0,0,7,3,2,10,0,0,,0,,5,25,7,1,0,1,0,0,8,2,Matches,a6c58494
7,Rayan Aït Nouri,fr FRA,DF,Wolves,21-248,2001,9.6,590,34,173,213,213,25,590,38,19,50.0,17,44.7,308,1733,997,25,12,10,19,9,358,67,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,24-298,1998,7.5,379,39,169,154,59,7,379,7,1,14.3,4,57.1,203,1097,604,10,5,0,3,8,215,10,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-205,1995,14.3,1267,74,468,710,92,20,1267,4,3,75.0,1,25.0,909,5536,3430,18,23,0,7,2,990,8,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,27-356,1995,12.8,1259,58,407,727,131,20,1259,3,2,66.7,1,33.3,817,3818,2416,14,9,2,10,0,975,15,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-083,1989,2.6,174,6,33,62,80,5,174,1,1,100.0,0,0.0,83,397,149,5,5,0,4,2,116,18,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,31-304,1991,12.8,1122,41,257,702,168,7,1122,28,19,67.9,4,14.3,634,3315,1541,12,18,0,11,18,802,22,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MF,Southampton,20-071,2002,0.6,29,2,6,15,9,1,29,0,0,,0,,22,122,84,3,4,0,2,0,20,0,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-125,1998,16.0,1560,49,359,780,428,27,1560,11,7,63.6,3,27.3,838,3137,1636,24,17,5,19,13,978,85,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-130,1992,20.0,791,612,769,22,0,0,791,0,0,,0,,491,2427,1494,0,0,0,0,0,432,0,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,26-304,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28-364,1994,19.3,902,16,98,292,527,88,902,57,20,35.1,28,49.1,565,3804,1615,54,27,19,31,18,630,177,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-009,2000,6.4,262,3,13,105,146,36,262,11,6,54.5,4,36.4,150,885,417,18,7,9,10,9,199,45,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-050,1994,15.2,1091,159,564,489,40,5,1091,5,2,40.0,2,40.0,664,3210,1945,18,10,0,7,4,792,5,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-254,1996,16.4,1249,234,721,487,45,20,1249,6,3,50.0,3,50.0,713,3498,1824,4,4,2,6,2,812,5,Matches,e34fc66d
21,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-095,2002,1.3,100,2,17,33,53,19,100,13,2,15.4,7,53.8,63,459,256,14,5,7,3,3,65,12,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-070,1999,8.0,423,11,74,157,197,22,423,23,7,30.4,16,69.6,238,1348,567,18,17,8,14,9,272,41,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,32-318,1990,10.9,317,8,25,139,158,46,317,29,10,34.5,15,51.7,202,1255,583,23,15,11,40,21,260,63,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,22-350,2000,10.1,531,5,81,177,287,35,531,31,10,32.3,15,48.4,382,2475,1264,48,35,14,15,7,404,80,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-203,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,29-347,1993,1.2,43,41,43,0,0,0,43,0,0,,0,,26,92,43,0,0,0,0,0,27,0,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-203,1996,12.0,511,11,77,238,208,45,511,38,16,42.1,21,55.3,269,1176,586,17,10,7,31,18,320,57,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,25-364,1997,11.4,367,7,54,140,182,36,367,30,8,26.7,18,60.0,208,1921,825,33,20,9,16,15,221,53,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,30-316,1992,8.5,456,9,79,185,199,20,456,20,9,45.0,9,45.0,290,2050,1056,34,26,3,15,14,327,49,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-129,1994,12.5,512,400,507,5,0,0,512,0,0,,0,,296,1425,856,0,0,0,1,0,270,0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-236,1989,4.8,124,6,15,54,58,16,124,5,3,60.0,2,40.0,76,475,229,7,6,3,9,4,91,22,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-294,1994,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-047,1992,11.0,712,59,271,277,175,8,712,15,5,33.3,5,33.3,308,1538,915,28,20,0,16,14,322,34,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-181,1997,8.1,238,10,34,96,113,28,238,17,5,29.4,9,52.9,141,791,355,11,9,5,38,15,154,33,Matches,e5478b87
35,André Ayew,gh GHA,FW,Nott'ham Forest,33-054,1989,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,5dbefa9d
36,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-151,1991,15.6,682,32,109,323,270,37,682,69,26,37.7,29,42.0,393,2400,1053,40,21,13,52,42,473,83,Matches,da052c14
37,Luke Ayling,eng ENG,DF,Leeds United,31-168,1991,7.8,490,22,161,210,127,17,490,16,7,43.8,8,50.0,202,970,460,12,3,2,11,4,230,37,Matches,420d7c7d
38,César Azpilicueta,es ESP,DF,Chelsea,33-165,1989,11.4,896,64,317,366,218,14,896,9,5,55.6,4,44.4,425,1824,1071,15,12,0,7,3,541,55,Matches,53cad200
39,Benoît Badiashile,fr FRA,DF,Chelsea,21-320,2001,3.0,309,47,176,130,6,3,309,1,0,0.0,1,100.0,204,1051,696,4,0,0,0,1,229,1,Matches,06df8256
40,Leon Bailey,jm JAM,FWMF,Aston Villa,25-184,1997,14.6,562,8,58,197,320,56,562,73,27,37.0,40,54.8,354,2772,1117,54,24,25,34,39,389,122,Matches,3a233281
41,Stefan Bajcetic,es ESP,MF,Liverpool,18-110,2004,2.2,132,3,22,81,30,2,132,8,3,37.5,2,25.0,68,351,167,3,1,0,2,2,81,0,Matches,32e8417f
42,Patrick Bamford,eng ENG,FW,Leeds United,29-157,1993,6.6,207,8,16,84,108,41,206,8,2,25.0,5,62.5,93,380,157,5,5,6,23,7,135,42,Matches,93feac6e
43,Shandon Baptiste,gd GRN,MF,Brentford,24-307,1998,4.8,231,7,52,119,63,4,231,10,4,40.0,2,20.0,167,787,383,8,10,2,10,5,157,18,Matches,2886c9b5
44,Harvey Barnes,eng ENG,MFFW,Leicester City,25-062,1997,17.8,679,7,72,250,366,77,679,53,11,20.8,34,64.2,435,2973,1537,54,43,28,54,28,548,161,Matches,3ea50f67
45,Gavin Bazunu,ie IRL,GK,Southampton,20-354,2002,21.0,837,585,822,15,0,0,837,0,0,,0,,499,2623,1549,0,0,0,0,0,402,0,Matches,c91441dc
46,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-033,1999,0.2,14,1,4,8,2,0,14,0,0,,0,,2,3,0,0,0,0,0,0,5,0,Matches,30db8574
47,Jan Bednarek,pl POL,DF,Aston Villa,26-303,1996,1.1,79,9,39,40,1,0,79,0,0,,0,,47,291,177,1,0,0,0,0,53,0,Matches,4115ce4e
48,Jan Bednarek,pl POL,DF,Southampton,26-303,1996,2.8,169,20,87,78,5,4,169,0,0,,0,,72,182,60,0,1,0,0,0,76,1,Matches,4115ce4e
49,Donny van de Beek,nl NED,MF,Manchester Utd,25-297,1997,1.9,72,1,3,23,46,11,72,2,1,50.0,1,50.0,39,148,85,2,3,0,2,2,53,20,Matches,50dc94ce
50,Asmir Begović,ba BIH,GK,Everton,35-234,1987,1.0,33,31,33,0,0,0,33,0,0,,0,,19,75,47,0,0,0,0,0,13,0,Matches,7b4de647
51,Armel Bella Kotchap,de GER,DF,Southampton,21-060,2001,11.4,616,94,323,268,30,18,616,6,2,33.3,1,16.7,327,1773,855,3,6,2,9,5,317,2,Matches,a39d11bc
52,Saïd Benrahma,dz ALG,FWMF,West Ham,27-183,1995,12.5,615,10,70,224,331,41,613,79,31,39.2,37,46.8,404,2946,1443,56,30,19,35,21,459,151,Matches,5a04fd92
53,Rodrigo Bentancur,uy URU,MF,Tottenham,25-229,1997,16.0,1018,51,285,570,170,16,1018,32,20,62.5,11,34.4,550,2780,1307,24,14,1,20,16,693,18,Matches,3b8674e6
54,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-055,2002,0.9,53,4,27,17,9,0,53,4,2,50.0,0,0.0,23,150,96,3,2,0,1,0,21,2,Matches,505486d6
55,Owen Bevan,wls WAL,DF,Bournemouth,19-106,2003,0.1,3,0,3,0,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches,87966294
56,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-315,2000,0.2,25,2,19,5,1,0,25,0,0,,0,,10,76,61,2,1,0,0,0,13,1,Matches,de40e38c
57,Philip Billing,dk DEN,MFFW,Bournemouth,26-243,1996,16.3,705,38,168,319,226,38,705,24,12,50.0,10,41.7,377,1973,893,22,17,4,26,26,460,58,Matches,d328a254
58,Yves Bissouma,ml MLI,MF,Tottenham,26-163,1996,9.0,639,17,127,411,102,1,639,7,5,71.4,2,28.6,371,2011,816,10,8,0,13,5,465,7,Matches,6c203af0
59,Willy Boly,ci CIV,DF,Nott'ham Forest,32-006,1991,6.5,318,60,218,88,14,8,318,2,1,50.0,0,0.0,153,713,352,1,1,0,2,0,165,0,Matches,a4ac4b8f
60,Sven Botman,nl NED,DF,Newcastle Utd,23-028,2000,17.7,1045,182,614,387,48,32,1045,0,0,,0,,578,2617,1351,5,4,2,5,0,672,3,Matches,ccce7025
