Squad,# Pl,SquadPoss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,25,57.5,20.0,13334,1024,3368,6110,3955,681,13333,377,165,43.8,161,42.7,7968,43194,22334,431,284,152,302,213,9188,1014
Aston Villa,25,49.3,21.0,12298,1387,4175,5451,2785,397,12295,330,124,37.6,147,44.5,6935,34061,16853,324,233,88,324,216,7746,715
Bournemouth,29,40.0,21.0,10792,1578,4393,4263,2278,354,10792,337,130,38.6,177,52.5,5426,29349,14284,267,214,67,322,218,6269,508
Brentford,25,43.6,21.0,10915,1475,4108,4299,2598,423,10910,303,122,40.3,133,43.9,5757,27173,13026,217,163,49,307,208,6089,589
Brighton,24,57.8,20.0,13662,1305,4210,5949,3601,544,13659,306,126,41.2,133,43.5,8195,41261,21446,390,252,115,299,183,9527,946
Chelsea,32,58.2,21.0,14953,1452,4894,6562,3610,492,14951,367,143,39.0,176,48.0,8721,43888,22642,415,296,110,328,226,10351,888
Crystal Palace,23,45.7,21.0,12203,1546,4459,5206,2672,390,12201,410,165,40.2,187,45.6,6520,32596,16182,294,225,113,363,274,7494,664
Everton,28,45.4,21.0,11790,1480,4300,5019,2595,390,11789,340,131,38.5,167,49.1,6202,33651,16462,286,215,79,339,180,7229,562
Fulham,27,46.6,22.0,12505,1429,4109,5417,3115,443,12498,302,120,39.7,139,46.0,6726,37234,19936,383,287,81,340,225,7588,727
Leeds United,28,50.3,21.0,12523,1144,3886,5531,3222,431,12521,364,136,37.4,182,50.0,6510,30634,15218,314,204,88,343,211,7304,806
Leicester City,26,50.3,21.0,13545,1490,4820,6142,2686,374,13543,280,109,38.9,128,45.7,7318,35943,18287,334,214,97,320,169,9043,775
Liverpool,27,59.8,20.0,14931,1271,4342,6926,3748,677,14931,322,137,42.5,143,44.4,8713,43470,22103,373,283,126,317,232,10268,1052
Manchester City,21,65.1,21.0,16761,1112,3957,8074,4841,755,16757,354,156,44.1,135,38.1,10571,58299,31716,578,442,160,231,183,12858,1208
Manchester Utd,25,52.5,22.0,14159,1480,4612,5951,3704,559,14157,335,125,37.3,167,49.9,7910,40358,21300,393,305,120,299,170,9248,854
Newcastle Utd,25,51.3,21.0,12138,1199,3751,4945,3558,611,12135,377,134,35.5,180,47.7,6395,34339,17685,363,247,99,293,206,7444,865
Nott'ham Forest,31,39.6,21.0,10499,1515,4263,4074,2285,323,10497,299,130,43.5,120,40.1,5216,27679,14061,265,190,56,319,178,5781,500
Southampton,31,44.7,21.0,11637,1321,4019,4871,2877,423,11636,361,150,41.6,174,48.2,6139,33358,15843,310,256,69,317,224,6617,611
Tottenham,25,50.3,22.0,14133,1605,5083,6009,3140,503,14130,343,139,40.5,162,47.2,8204,42894,22238,422,284,110,324,219,9502,874
West Ham,25,44.5,21.0,11644,1288,3933,5010,2796,401,11638,290,104,35.9,134,46.2,6011,32250,15659,331,244,77,265,184,7201,757
Wolves,30,48.5,21.0,12360,1602,4709,4885,2901,392,12358,386,157,40.7,182,47.2,6745,37636,19977,373,249,87,304,180,7927,785
